Marca temporal,¿Qué Campus eres?,¿Qué Semestre?,¿Qué Carrera?,¿Has tenido problemas para generar tu horario en UPSite?,¿Qué problemas has tenido?,¿Qué factores tomas en consideración al crear tu horario?,¿Cuántas materias metes por semestre?,"De esas materias, ¿cuántas materias lograste meter?","¿Usarías una aplicación para generar disponibles horarios? En caso de confirmar, ¿qué características te gustaría ver?",Has tenido problemas para ver tus calificaciones?,Qué problemas has tenido (nueva)
25/01/2025 16:32:25,Mixcoac,8,Ingeniería en Innovación y Diseño,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",6,Todas,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable",Si,Tengo indicadores
25/01/2025 16:37:20,Mixcoac,8,Ingeniería en Animación y Videojuegos,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",6,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Campos vacíos
25/01/2025 16:37:31,Mixcoac,6,ESDAI,Si,"Problemas de Carga, Interfaz poco intuitiva, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",8+,Todas,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
25/01/2025 16:40:51,Mixcoac,2,Negocios Internacionales,Si,"Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",8+,Todas,"Elegir horario entre las posibles combinaciones que te ofrecemos, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 16:41:14,Mixcoac,9,ESDAI,Si,"Poca disponibilidad, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas, Materias favoritas",7,7,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 16:47:00,Mixcoac,4,Ingeniería Mecánica,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Materias favoritas",5,4,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Se tardan en reflejar en UP4U
25/01/2025 16:54:16,Mixcoac,6,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",6,6,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 16:55:27,Mixcoac,8,Ingeniería Mecatrónica,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,7,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Tengo indicadores
25/01/2025 16:58:39,Mixcoac,10,Ingeniería Mecatrónica,Si,"Poca disponibilidad, Se interponen tus horarios, Es difícil planear tu horario, En especialidad todos tienen turno uno entonces es un buen de gente metiendo materias a la vez, depende al final de tu suerte e internet","Profesor, Horas",6,6,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Se tardan en reflejar en UP4U
25/01/2025 16:59:56,Mixcoac,2,Contaduría,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,Todas,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Tengo indicadores
